fbref_id,FPL Code,fpl_id,Name
67ca8566,87873,188,Dallas
93feac6e,106617,189,Bamford
bba30585,149915,190,Llorente
4f565d77,155405,191,Phillips
f13d02a6,165808,192,Costa
6c17e046,173821,193,Roberts
ea6bc03a,193645,194,Koch
55b4f1d6,215460,195,Poveda
3423f250,219961,196,Raphinha
8d03ca5a,221610,197,Shackleton
f4d296e4,222694,198,Struijk
6b625ac2,437495,199,Meslier
53af52f3,17745,200,Schmeichel
f8fcd2a5,37642,201,Evans
b827d5b3,51938,202,Albrighton
1598599e,86881,203,Mendy
d3ce0e89,95463,204,Ward
45963054,101668,205,Vardy
86695068,106837,206,Praet
75a72a99,111931,207,Pereira
1a4ef233,155569,208,Amartey
197640fd,166477,209,Castagne
56f7a928,166989,210,Tielemans
819aa8e7,168580,211,Pérez
ee38d9c5,172780,212,Maddison
c92e1a31,173515,213,Iheanacho
7d2d3329,197469,214,Choudhury
3ea50f67,201666,215,Barnes
6b47c5db,203341,216,Ndidi
21166ff4,218031,217,Söyüncü
fb614c44,220627,218,Justin
fc027d02,244619,219,Thomas
132a82f1,444463,220,Fofana
2f90f6b8,15157,221,Milner
935e6b8f,56979,222,Henderson
f76e6b4e,60706,223,Adrián
b217ef29,60914,224,Matip
77e84962,61558,225,Thiago
6421ec64,68312,226,Shaqiri
38c7feef,81880,227,Chamberlain
4c370d81,92217,228,Firmino
e06683ca,97032,229,van Dijk
c691bfe2,110979,230,Mané
7a2e46a8,116535,231,Alisson
7f3b388c,116643,232,Fabinho
e342ad68,118748,233,Salah
2e4f5f03,122798,234,Robertson
43a166b4,152760,235,Origi
f833a830,157882,236,Minamino
cd1acf9d,169187,237,Alexander-Arnold
7a11550b,171287,238,Gomez
f25c8e3a,175592,239,Keita
178ae8f8,194634,240,Jota
515ebe8d,197464,241,Phillips
62d7ef38,200720,242,Kelleher
5ed9b537,204716,243,Konaté
4fb9c88f,206915,244,Jones
f315ca93,214285,245,Tsimikas
dd323728,215136,246,N.Williams
012c975a,219937,247,R.Williams
c9009a1f,152898,248,Davies
86dd77d1,58621,249,Walker
819b3158,59859,250,Gündogan
e46012d4,61366,251,De Bruyne
5eecec3d,97299,252,Stones
5271c8f1,102826,253,Mendy
892d5bb1,103025,254,Mahrez
b400bde0,103955,255,Sterling
bd6351cd,121145,256,Cancelo
3bb7b8b4,121160,257,Ederson
eaeca114,126184,258,Aké
119b9a8e,146941,259,Laporte
42130443,164484,260,Steffen
3eb22ec9,165809,261,Bernardo
31c69ef1,171314,262,Dias
b66315ae,205651,263,Jesus
51cf8561,206325,264,Zinchenko
ed1e53f3,209244,265,Foden
6434f10d,220566,266,Rodrigo
aa849a12,221399,267,Harrison
9e1035f8,224444,268,Torres
527f063d,40720,269,Cavani
7ba6d84e,51940,270,de Gea
eb7822d7,62398,271,Matic
867239d3,74208,272,Pogba
d8931174,95658,273,Maguire
b853e0ad,101582,274,Fred
9c94165b,106760,275,Shaw
810e3c74,109322,276,Lingard
507c7bdf,141746,277,Fernandes
8b788c01,148225,278,Martial
e73c9bb2,152590,279,Telles
e5a76dfe,172649,280,Henderson
a1d5bd30,176297,281,Rashford
50dc94ce,180184,282,van de Beek
2baec6ce,180804,283,Tuanzebe
f5deef4c,184667,284,Lindelöf
d93c2511,195851,285,McTominay
a1232f4e,197365,286,Bailly
c931d9f9,200617,287,James
9e525177,214590,288,Wan-Bissaka
58eee997,220688,289,Greenwood
5e74d6c8,232937,290,Williams
3727dd3c,50232,291,Shelvey
71ef519e,56983,292,Ritchie
2b91cf8e,58845,293,Clark
cde3309f,59735,294,Darlow
3a949a25,67089,295,Dubravka
c596fcb0,75115,296,Wilson
989d5705,83314,297,Hendrick
d56543a0,90105,298,Fraser
450ab6fc,101148,299,Lascelles
e58a03c6,104547,300,Gayle
3fe6bd8c,106618,301,Dummett
758dd7f0,109528,302,Manquillo
77cf6852,111773,303,Krafth
de112b84,114243,304,Murphy
c8aa95da,119471,305,Schär
c951a6df,153127,306,Hayden
2b16cb1a,170137,307,Saint-Maximin
862a1c15,179018,308,Almirón
a2b105e0,180135,309,S.Longstaff
c17bfb65,180974,310,Joelinton
efb9215a,194799,311,Lewis
c0027d2d,223175,312,M.Longstaff
51a19d04,18499,313,McGovern
f23f9d20,20480,314,Krul
0745b37d,57127,315,Pukki
b606638c,71738,316,Stiepermann
3faa1780,76306,317,Rupp
471f16b3,78607,318,McLean
e9254eec,83428,319,Hanley
007b39a5,89470,320,Hernández
1bf811d4,113564,321,Byram
a36d4785,167522,322,Hugill
2f6ec02a,171270,323,Dowell
2d5f03bf,192303,324,Zimmermann
f63d8a4b,193111,325,Cantwell
774cf58b,232980,326,Aarons
953c30b0,235546,327,Sørensen
3c33f9d9,428626,328,Placheta
291e3ec3,432735,329,Idah
3f072a68,439485,330,Martin
c393a6c4,466404,331,Omobamidele
1ecb65be,20467,332,Walcott
c3e39f12,40383,333,Forster
36c2ca73,58376,334,McCarthy
4b511457,78056,335,Romeu
ab651565,83283,336,Redmond
07802f7f,84939,337,Ings
6adbc307,88900,338,Stephens
97333cf5,91047,339,S.Armstrong
1900032e,93100,340,Vestergaard
3515d404,101178,341,Ward-Prowse
984a5a64,158534,342,Walker-Peters
4115ce4e,171771,343,Bednarek
30040f5d,200088,344,Nlundulu
f2bf1b0f,200439,345,Adams
f1e94cd6,203389,346,Tella
5e105217,214466,347,Smallbone
caa1a7f0,220598,348,Obafemi
11ff3d56,240143,349,Diallo
254147d4,431131,350,Djenepo
0b33f6ad,450527,351,Salisu
cb4f24c6,15749,352,Hart
